id	emotion	text
40	fear	"A bus drove over my right leg.  The event itself was not very   frightening but I had to wait in the emergency ward for   three hours and then my leg began to swell, I was frightened."
41	anger	"At my Summer job, nobody looked after me in particular and I had   to learn all on my own."
42	sadness	I was not accepted as a student in finance and accounting.
43	disgust	I had just moved into my new appartment I found a ventilator   in the kitchen.  I was going to clean it I found that the   drum was full of mud and slime.  I felt disgusted.
44	guilt	At my Summer job a new caretaker had been employed who was my age    but I preferred going out for lunch with the accounts personnel   rather than with him.
45	neutral	Passed an exam by 2 points.
46	fear	"In a cottage in a large forest, I was alone for a while in the  dark."
47	sadness	Railway station good-bye.
48	disgust	I saw a cripple in rags with small children in Italy.  He was   probably an imposter.
49	shame	I told a friend that I was going to a party and he would not   enneutral himself if he came along.  He understood  that he would not   have fitted in and there was something in that.
50	neutral	I passed an exam that I was absolutely certain that I had failed.
51	fear	"On the way back from Denmark with a friend on a small yatch,   there was a storm and my friend was blown overboard;  I was very   scared till I managed to get him back onboard."
52	anger	I locked myself out.
53	sadness	I missed the last tram home and had to walk in the pouring rain.
54	disgust	I found some worms in the food and I had obviously eaten some.
55	shame	"My friend was so intoxicated that the police came and took him   away, and they later contacted his parents."
56	guilt	I hapened to overhear something which I was not meant to hear.
57	neutral	I won a trip to Greece in a competition.
58	fear	I am out in the dark and a suspicious looking character   comes towards me.
59	anger	"At work, an elderly man complained unjustifiably about me and   distrusted me."
60	sadness	I had not understood anything after a lecture.
61	disgust	an alcoholic stood dribbling over a food counter.
62	shame	my friend and I were discussing the good looks of a guy we   realized that he had been listening.
63	guilt	I complained about a colleague to the manager and he told   her that someone had complained; this colleague came to me   believing that I liked her.
64	fear	On the way home one Friday night in the heavy rain the car   acquaplanned.  I lost contact with the road surface for a few   seconds.
65	anger	Mad at my dad.
66	sadness	A case of unrequited love.
67	disgust	A bad smelling cucumber.
68	shame	Nearly caught masturbating.
69	guilt	I do not help out enough at home.
70	neutral	I felt very happy I won the football pools.
71	fear	I flew from Athens to Copenhagen after a holiday.  The plane   was caught in a storm and it began to shake and I thouhght that   we were going to crash.
72	anger	someone stole my bike.
73	sadness	"I saw the list of books to read for an acccouting course, I   thought "" Oh God how will I ever manaage it!"""
74	disgust	It was I read a newspaper article on the future and they   foresaw that we would be eating frog-burgers by the year 2000.    An illustration showed a frog between two pieces of bread.
75	shame	I dropped a bottle in the state liquor store and everyboby   started laughing.
76	guilt	"I was young - 14, I pinched from a store and was caught.    The store then contacted my parents."
77	neutral	the whole family gets together for a one week holiday.    Everybody feels free and the trip is well planned.  It works out   well and we enneutral ourselves.
78	fear	"I could not find my 2 year old daughter.  I ran and looked   for her everywhere and could not find her.  (I finally found her,   she had gone to bed to sleep)"
79	anger	friends try to put me down or hurt me.  
80	sadness	Marriage crises.  Boredom.
81	disgust	someone makes advances that one does not want.
82	shame	The discovery that one has only thought of oneself.
83	guilt	I spanked a child in anger and later regretted it terribly.
84	fear	They followed me
85	disgust	a dog is left whining outside a shop.
86	shame	I promised to help a friend over a weekend and did not keep   the promise.
87	neutral	The day I was told that I had been accepted as a student of   economics.
88	fear	"While taking a short cut through the Vasa park, I was surrounded   by three people who tried to steal my money.  I was scared and   was saved only by the appearance of other people."
89	anger	"At a restaurant I observed how the gypsies tried to get money by   cheating the foreigners i.e non Swedish speaking.  My anger had   nothing to do with hatred against foreigners, but it was an   expression of the anger I feel I see people being used ."
90	sadness	At the begining of a new course one is afraid of encountering   problems one can not manage.  Thoughts revolve around failing   the subject and the consequences it would have for the future.
91	disgust	While walking in town I noticed how the police harrassed a man   who was under the influence of alcohol.  They terrified him with   the thought of arrest by driving close behind him on a pedestrian   street.  My disgust was directed at the gestures and the facial   expressions of the policemen; they seemed to be enneutraling   themselves.
92	guilt	"I am dishonest to a friend to whom I am very close.  I   feel guilty because I know that he gives a different version of   the truth and I have not corrected these mistakes, and he is   aware that I know that they are wrong."
93	anger	I got caught in the pouring rain last Thursday and did not   have a raincoat on me.
94	sadness	I failed an exam.
95	shame	"I had not prepared my contribution to the group as   thoroughly as the other members, with the result that the   overall result was poor."
96	guilt	"my father and I worked on the house just after he had   recovered from illness, I was rather lazy.  This meant that he   had to work hard and was not very well later."
97	neutral	I gave birth to my son and saw that he was alive and that I   had managed it well.  He was born a month too early with a   malfunctioning lung.  This happened a year ago.
98	fear	I found out that my father had lung cancer and they did not   know how long he would live.
99	anger	"a colleague asked me for help at work, despite the fact   that he had more time to do it than I had."
100	sadness	I did not get the salary increase that I had been expecting   and understood how little one's work was appreciated.
101	disgust	I was weeding the garden I found a lizard in my hand.
102	shame	"I met a friend whom I had not seen for a long time and   heard all about her troubles, I thought that I should have got   in touch with her earlier."
103	guilt	I got angry at my mother for something trivial.  We were in a   bad mood because my father was very ill and I knew that my mother   really needed support.  I had reacted wrongly.
104	fear	"I was stopped by plain clothes policemen because the car I   was driving had overturned on the Avenue.  I had been driving too   fast, and I was afraid I was stopped, questionned and then   toild to go.  The situation ended happily since there were no   consequences."
105	anger	The editor changed the heading of an article that I had written.    He considered the heading to be derogatory towards the person I had written   about.
106	sadness	"A close acquaintance of the family died of lung cancer.    Although it was expected, I still felt depressed."
107	disgust	"I saw a picture, in the Gothenburg Post, of a totally   demolished car with two fatally injured passengers.  The car was   so badly damaged that they couldn't get the bodies out at the   scene of the accident."
108	neutral	I got the loan for my studies.
109	fear	I met intoxicated people with dubious intentions in a back alley   one Wednesday night.
110	anger	On the T.V I saw a news feature on South Africa.  A policeman        attacked a group of black people with a whip.
111	sadness	The thought of having to read a boring book of 400 pages in   English.
112	disgust	Grovelling people.
113	shame	My inability to assert myself positively in a group.
114	guilt	I experience feelings of guilt because I do not study enough.
115	disgust	"Observing someone in the cafeteria noisily gulping in his food,   having extremely bad manners."
116	shame	I guess I have often been ashamed after having talked badly of   other people.
117	guilt	Having been angry and unpleasant towards my parents.
118	neutral	my sister - after a history of one abortion and one   stillbirth - gave birth to a perfectly healty boy.
119	fear	"my sister had the still born child, she was emotionally very   deep down, and it took her a long time to recover."
120	anger	"We were starting a student project, and the teacher we talked to   was very negative and not very helpful."
121	shame	Can't think of any.
122	guilt	"Before an accident, my aunt offered me the front seat of the car,   next to the driver. I declined, she took that seat and was killed   there the car crashed."
123	neutral	"Unexpected visit by a close friend, whom I hadn't seen for half a   year."
124	fear	"I wandered by mistake into the safety zone of a shooting range,   and was shot at."
125	anger	Being treated unfairly.
126	sadness	Breaking up with a girl.
127	disgust	Nothing.
128	shame	None.
129	guilt	Little contact with my father before he died.
130	neutral	"I was accepted as a student at the college, not having   thought it possible."
131	fear	"I was the first to arrive at the scene after an accident,   and found that a close school friend had been killed."
132	anger	"I was accused of having done something, which I hadn't and got   very angry."
133	disgust	Not applicable.
134	neutral	"A couple of years ago during the summer holiday, I was fishing at   a lake with my husband.  Suddenly it started raining while the   sun was still shining. I experienced a feeling of neutral, happiness   and fulfillment.  the whole nature was full of music."
135	fear	"I was alone at home, in bed reading a womens' magazine in which   there were storiees of paranormal experiences.  My leg was   itching and I stretched my hand to scratch and I felt another   strange hand. (later I realized that it was the corner of the   blanket)"
136	anger	"I went to a lecture and once again it had been cancelled, this   was the second time.  One had a negative attitude towards the   lecturer.  "
137	sadness	"I heard that a former superior of mine had died, I was later at   home home reading about it in the newspaper and I thought of our   interaction and how it was no longer possible.  The limited scope   of human life is sad."
138	disgust	"In the tram there was a fat, sickly looking woman in front of me   who was asking for directions in a thick voice.  she got up to   go a disgusting smell of urine came from her.  I felt that I   would choke."
139	shame	"we were at home, my husband and I, he made a remark about   something I had done, in a perfectly friendly manner.  My deed   had been unjust and I knew that my husband was right, therefore my   sense of shame."
140	guilt	"I made a remark to my sister concerning her attitude to men, the   way she talked and I compared her to an acquaintance of mine.    Later, the same evening, my sister looked sad.  I felt guilty   about her sadness."
141	fear	"I went to practice in Sweden during summer, and I was afraid that   I would not do well."
142	anger	"In the holiday cottage of our association, two of my pals came to   wake me up early one morning by bringing a radio played at the   highest volume into my room - it was the morning service at its   loudest."
143	disgust	"My superior at the summer job swindled customers as much as he   could, and once put me in a difficult situation after which I   could not but detest him."
144	shame	Once I arrived two hours late to my work place (a bank) and I was   still feeling feeble and tired.
145	guilt	Our association had Polish visitors and they were going back   by boat I did not go to see them off (I am the chairman of the   association).
146	neutral	"I was told quite unexpectedly that one wanted me to become the   vice-chairman of our student organisation.  I was really   surprised and neutral was the first emotion I felt, though behind it   there was worry - how shall I succeed ?"
147	fear	"Our tutorial group was soon to be divided, and we got a list of   names of freshmen, out of which five were to be in my group.  We   read the names and then each group went its own way to a seminar   room.  I wondered how I would cope with the new situation and if   I would succeed as a group leader."
148	anger	"We were in a disco and the evening was not at all pleasant.    Despite my not knowing why, I was angry with my companion.  I let   him feel my bad humour as I cannot hide my feelings."
149	disgust	"At the underground station, a drunkard came to speak to me.  He   tried to ask me something but I did not answer so he began to   speak about me with his companion.  I detested this dirty   growling man."
150	shame	"I was worried by a task related to my studies which had to be   done in groups of two.  I was talking about it to my friends   I said something negative, in too abrupt a manner, concerning my   work partner.  I did not quite mean what I said and I felt   ashamed at having been mean enough to criticize him as he is also   a friend of mine."
151	neutral	"Last night I had a chat with a fellow student.  I had known her   for about half a year, and for the first time we were speaking   ""the same language""- meaning an inspiring discussion and   encounter."
152	anger	"[ I sometimes quarrel with my mother because she blames me,   though I have not in any way been connected to some events.]"
153	sadness	"After hearing about the death of my grandfather.  First I could   not believe it, but later I wept and felt the situation was   hopeless.  I felt lonely and wanted to be consolated."
154	guilt	"At my temporary job, I have to restrict  others' actions and make   them obey me, and this very often gives me  a feeling of guilt.  I   wish there could be some other way of acting."
155	neutral	"I met a dear friend of mine after a long time.  I expressed my feelings   in our own usual way, by mutual scolding and abusing (with   complete understanding) and by touching, patting and taking the   hand of the other person, etc..."
156	fear	"I felt fear of the purest kind after a car accident.  The   incident and images of horror kept coming back to my mind.  I   wondered what could have happened to my sister, my friend and me,   though nothing very serious actually happened."
157	anger	"Two boys whom I know were telling me, in an indecent manner, how   they had teased a young and shy girl I know.  They had despised   her conviction, scorned and touched her.  I got very angry and   did not try to conceal it and gave it back to them."
158	sadness	"My sweetheart left me, or rather we decided to break it off by   mutual consent.  The consequences were - unrestrained weeping,   feelings of loneliness, hopelessness and disconsolation.  I felt   that I should find a friend, to talk to neutralfully and to forget."
159	disgust	"Out of sheer curiosity, I went to see a pornographic movie in   Copenhagen.  The room was full of men, who panted and   masturbated.  Very disgusting."
160	shame	"After having quarelled unnecessarily and without any reason, and   having been stupidly cross in every way."
161	guilt	Forced to fill in a questionnaire.
162	neutral	I won a tennis match.
163	fear	my dog ran out on thin ice last spring.
164	anger	my tennis match was interrupted because a kid cycled right   into the court.
165	neutral	Celebrations on the graduation day with the orchestra playing in   the garden ( I am a part of this orchestra).
166	fear	Risk of being involved in a fight after a party.
167	anger	"I had a very heavy work load and two colleagues, whom I have   nothing against, disturbed me by ""terror ringing"", i.e   continously interrupting me by telephoning."
168	sadness	After an exam which I failed.
169	shame	"I overtook a car on the mainroad, misjudging the distance of   an oncoming car and this resulted in tooting and flashing from   the other driver (we could have collided), and I had an   acquaintance in the car with me."
170	guilt	"I saw a neighbour, from the same appartment block as me, lying      on the road.  He could have been injured or ill.  I kept 20   metres away and did not go to help him."
171	neutral	I met an old schhol friend (school love).
172	fear	"I was cycling to school, I nearly got knocked down by a car   which (overtook me too closely) did not give me any swerving space."
173	anger	"I was deputy manager during the Summer, certain deputies   took liberties, more than what was normal."
174	disgust	Dog dirt which thaws in the spring.
175	guilt	[ Can not think of anything just now.]
176	neutral	Passed the last exam.
177	fear	Was nearly knocked down by a car.
178	anger	I reached the bus stop and realized that I had forgotten my bus   pass.
179	sadness	My current work load is too much.  The feeling comes back from   time to time.
180	neutral	my one year old son gives me a spontaneous kiss.
181	fear	someone close to me is travelling by car and is delayed.
182	anger	someone does something wrong which affects me negatively.
183	sadness	I think about my parents getting old.
184	guilt	"I do not have the time for other people's problems.  My   mother-in-law is sometimes depressed and I do not have the time,   the desire or the strength to help."
185	neutral	"An ex-colleague asked me if I was interested in working in their   accounts bureau.  They needed ""clever people"" and he had   ""immediately thought of me."""
186	fear	I was driving and a deer suddenly appeared in front of the   car there was a lot of traffic behind me.
187	anger	I saw a report on T.V news on apartheid in South Africa. 
188	fear	I nearly collided with another car.
189	anger	The time someone let the air out of the tyres of my cycle.
190	sadness	I read a lot and did not remember anything.
191	guilt	The time that I had to put my dog to sleep.
192	sadness	Long illness.
193	neutral	I passed an exam.
194	fear	"I was travelling by tram, I tripped and fell against the   door.  I thought that I was going to fall out."
195	anger	I missed the tram after having run for it.
196	sadness	The inability to read a book at college.
197	disgust	If a guy one is not interested in makes advances.
198	shame	I drink wine too often.
199	guilt	I do not study enough as I do not understand it properly.
200	neutral	I worked at a lawyer's office during Summer and I got a very   good reference from him.
201	fear	I had been watching a triller a dark night in the country and I   had to go the outside toilet on my own. 
202	anger	"I am accused of something I have not done, I get unbelievably   angry."
203	sadness	"I began to read a thick book, which I had a limited time to   read.  Also I have a lot of work to do and I cannot keep up."
204	disgust	Someone vomited on the street.
205	shame	"I can not think of any incident I have felt very ashamed.    There are small incidents that I am ashamed of, for instance,   not sending money to the children in Ethiopia."
206	neutral	I was finally qualified for my profession.
207	fear	Someone attacked me with a knife.
208	anger	Someone drove into my car and then denied that it had happened.
209	sadness	I was told that my friend's wife had cancer.
210	disgust	I saw a dog which had been knocked down by a car.
211	shame	I boxed my child's ears.
212	guilt	I was fined for speeding.
213	neutral	I stopped working (had a boring job).
214	fear	"I was going home by car late one night it was cold, dark and   windy.  I became rather panicky on the way to my house."
215	anger	Quarrel in the family.
216	sadness	I am alone in a room with no contact with anyone -   loneliness drains me.
217	disgust	I was on holiday someone vomited in front of me.
218	shame	Emptied a bucket of water in a hospital.
219	guilt	I feigned sick leave from work.
220	neutral	I get a hug from someone I love.
221	fear	I was driving very fast on a small road and I met an oncoming car   in a right handed bend.  The other driver was on his own side of   the road and I had to skid out of it to avoid a collision.  It   was dark.
222	anger	My car had been towed away by the traffic police because it had   been wrongly parked.  However the sign had been put up only after   I had already parked.
223	sadness	After an operation I had to stay in bed for a long time.
224	disgust	I was forced to stay in the canteen and eat the food that I had   not asked for but got it anyway.
225	shame	I did not buy what I had promised to.
226	guilt	By mistake I took a book from the library which was not supposed   to be loaned out.
227	neutral	I won an unexpected sum of money.
228	fear	My 2 year old daughter disappeared in a moment of inattention; I   was responsible for her.
229	anger	A colleague asked me for some advice and as he did not have   enough confidence in me he asked a third person.
230	sadness	"I wanted to be pregnant and did not succeed, so I was depressed      at every menstruation."
231	disgust	"In a warm bus full of people, someone vomited and the whole bus   stank."
232	shame	"I complained about a colleague's behaviour as she goes back on   her word, is often absent and is irresponsible.  I found out that   she was an alcoholic and was trying to fight againt her   addiction."
233	guilt	I spoke to my mother on the phone.  She had skin cancer and was   waiting to be operated.  I forgot to ask her the date of the   operation and just before finishing our conversation she gave me   the date in passing. 
234	neutral	I was at a party I met an old friend from an adult   education course.  We had not met for 2 years but had both thought   a lot about each other.  A wonderful experience.  
235	fear	"I was cycling through the park late one night, two people   jumped out of the woods and tried to stop me.  There were   shouting something at the same time."
236	anger	close relatives tried to dissuade me from studying   Psychology because of its low status.
237	sadness	I had a long discussion on politics with an acquaintance.  He   was more knowledgeable than me and I failed to explain my point   of view and was misunderstood so I felt depressed and left.
238	disgust	I read a newspaper article on a young girl who had been   raped and assaulted one night by several men she was unconscious.
239	shame	My mother revealed personal details about me and the   negative aspects of my character to other people I was   present but unable to defend myself.
240	guilt	I was unfaithful to my partner once he was working abroad   for a long period.
241	neutral	I recently got an appartment in central Gottenburg.
242	fear	I saw a large spider crawling up the wall.
243	anger	My employer took too many aspirins for a bad back and also drank   an enormous amount of spirit.  This was dangerous  and he did   not understand that he had done anything wrong.
244	sadness	"I left New York, and all my family and my friends behind me."
245	disgust	I slept with a guy because my best friend wanted me to.    He had never had intercourse with anyone and had a terrible   complex about it.
246	neutral	my son returned from mountaineering - healthy in body and   soul.
247	fear	one meets new people with whom one is forced to collaborate   with.
248	sadness	I feel sad about an event I can not influence.
249	disgust	"a member of the family complains about the food that is   served, it disgusts me."
250	neutral	I was informed that I had been accepted as a student of   Psychology.
251	fear	I was in a little fishing boat and we ran into hard weather   in the open sea.
252	anger	I found out that the guy I was dating at a particular time   had a steady relationship going on with someone else for a long   time.
253	sadness	I felt sad and depressed I heard that our cat had died.
254	disgust	"I was working as a nurse in a mental hospital, a patient ate   up the contents of another patient's spitoon."
255	shame	"At primary school, I vomited in front of others in the middle    of a lesson."
256	guilt	I arrived an hour late for an important meeting ( I had   misunderstood the time).
257	neutral	I was acceptted as a student of psychology.
258	fear	my son has a pain in his leg (for no apparent reason).  
259	anger	"When, after a week at school, a teacher sent a note home saying   that my son was inattentive and unable to do his lessons."
260	sadness	I thought that it was going to be impossible for me to start   studying (due to wrong information from the student advisor).
261	disgust	"At a certain person's lack of cleanliness, at home and   personally."
262	shame	"I made the same mistake that I had accused someone else of, and   this was obvious to a third pereson."
263	guilt	I lost something that was valuable to my sister.
264	neutral	my son was born.
265	fear	I nearly drowned in icy water wearing ice skates.  It was   difficult to get out.
266	anger	I was pointed out as a problem child in primary school and   my mother took the teacher's point of view.
267	sadness	I was accused of neglecting work for the wrong reasons.
268	disgust	"My parents attitude towards each other they should become   reconciled, despite my father's long-time addiction."
269	shame	I was caught stealing money from my father.
270	guilt	I stole a coconut cake from a reception table and I put   in my mouth I realized that the host was watching me.
271	neutral	"after 10 months of national service I was ""downgraded"" and   did not have to do the remaining 5 months."
272	fear	I was reprimanded by the manager of the hotel where I   worked during Autumn 1984.
273	anger	my parents drove me to a nearby place and went home   immediately instead of waiting a few hours.  They could have   easily waited.
274	disgust	I was about to clean the draining board and saw it looked   underneath the sink (I live in a students hostel).
275	shame	my mother caught me masturbating.
276	guilt	"As the only person in my family into academics, I ought to have   looked after my younger (and only) sister better, with respect to   her education and life experiences."
277	fear	Slept in a chapel and in the middle of the night I realized that   there was someeone else in the chapel.  I never discovered who   it was and why he was there.
278	anger	"we were in high school a few guys sometimes provoked a   friend of mine.  They called her a pig and then grunted.  This   irritated most of the girls.  Once, one of the girls got angry at   my friend and said something nasty and this made me terribly   angry."
279	disgust	A mother who shouts at her child for nothing.
280	shame	"I complained to my mother about how untidy the kitchen   loooked, she boxed my ears ( this had never happened before)."
281	guilt	"As I could not be home before midnight I called home at 11.30 and   asked them to leave the door open so that I could get in.  I   actually woke up the whole family by calling them so late.  My   mother could not go back to sleep, besides she had a conference     the next day and really needed to sleep."
282	neutral	I got through the first day here at the department.
283	fear	I was cycling past a parked car someone opened the door and   nearly pushed me off my bike and into the traffic.
284	sadness	I had to leave my mother and my sister after a week's visit.
285	disgust	I saw a big spider from very close.
286	shame	I asked a friend to return the money that I had loaned her   and then remembered that she had repayed me in several ways.
287	guilt	one of my parents insinuates something about the other   (they are divorced).
288	neutral	i was asked to be a child's godmother.
289	fear	On the way down a ski slope which was difficult and steep.
290	anger	my mother interfered in my life.
291	sadness	I was left alone one week-end without being prepared for   it.
292	disgust	The first time that I saw a surgeon cut off a leg and put it in a   black rubbish bag.
293	shame	I forgot about a meeting at work.
294	guilt	I demand too much from my friends.
295	neutral	my husband suddenly came to see me at my new job and   brought some flowers and cake with him.
296	fear	I was nearly attackad by a man who had been chasing me.
297	anger	"my father asked me if I was a communist, at the same time he   made it clear that I should no longer see myself as his daughter."
298	sadness	"I applied for a job which I thought I had a good chance of   getting, I was not even granted an interview and did not get the   job."
299	disgust	T.V features showing the violation of defenceless people.
300	shame	I as a child of 9 or 10 I was playing doctor with the   neighbours boys their mother caught us.
301	guilt	my husband talked about the restrictions he will have to   accept in his life to make our marriage work.  I felt that it was   directed at me as it was me who had demanded the changes.  We   were with a marriage counsellor then.
302	neutral	we were able to afford a new sofa - a leather one which cost   SEK 20000.  I had waited for it for 2-3 years.
303	fear	Vertigo - standing on a ladder and painting the house.
304	anger	my boss enrolled in a course to satisfy his own ends - to   trample on his associates.  I have the misfortune to have one of   my superiors in my course.
305	sadness	I argue with my mother about the way she treats her two   children differently.
306	disgust	Spit and vomit.
307	shame	Spots on the seat covers of my husband's car.
308	guilt	Not speaking to my sister-in-law due to lack of interest in a   relationship on my side.
309	neutral	"I recently managed to get my first consulting assignment   ""myself"" i.e on my own initiative."
310	fear	I was within a hair's breadth of knocking down a drunkard who   suddenly ran into the street.  The fear came later I       realized what could have happened.
311	anger	"my friend, as usual, forgot the tickets at home for a   performance.  We missed it."
312	sadness	"The elections of 1982 and 1985.  The thought of what a social   democrat and communist majority could achieve, especially ""worker   share"" funds and its extension."
313	disgust	"A study visit to a chicken factory : the butchery, the smell,   the environment and the noise."
314	shame	Confession to my parents about my involvement in a moped theft.
315	guilt	"[ No answer as I see very little difference between shame and   guilt.  Therefore see answer for ""shame"".]"
316	neutral	I was appointed to position of trust in a group set up to   change the working environment.
317	fear	I was alone in a cottage I often stay in.  I was woken up by a   rustling sound in the middle of the night.
318	anger	"I tried to explain to a plumber, face to face, that the   toilet was broken and he did not believe it (it had been mended   ten times)."
319	sadness	the result of a project work was treated nonchalantly   intead of being criticized by the teacher.
320	disgust	programmes on violence or pornography are shown on T.V.
321	shame	I talked maliciously about a colleague at work to someone   else.  Immediately afterwards I felt ashamed.
322	guilt	I decided to take a week s holiday without consulting the   family first.
323	neutral	After my girl and I talked things over our relationship changed   and became positive.  A diificult time turned into pleasant one.
324	fear	we could not land our plane and we knew that the fuel was   running out.  Bad weather had already frightened us.
325	anger	I read about Reagan's tactical decision concerning the   South African boycott.
326	disgust	A film were a woman was attacked and raped.  One did not see the   worst but it had the desired effect - very strong.
327	shame	I made a comment and it was interpreted completely differently   from what I had meant.  I said it I realized how my mother   had understood it.
328	neutral	"I was offered a high position of trust, which I later   accepted."
329	fear	I had the window open and the door was shut so that the kitten   would not go out.  My partner came in and started talking about   something and I forgot about the window and suddenly I saw the   kitten hanging from the window frame. I was rigid with fright   till I got hold of her.
330	anger	Some noisy guests arrived at the hotel.  I had been slightly   irritated earlier.  At night I was trying to sleep they were   having a party so I went and yelled at them.  I wanted to sleep   as I had to get up early the next day.
331	sadness	I was told that I had not been successful in getting the job I   had been expecting.  I was sure that I was sufficiently   qualified.
332	disgust	my cat vomited and a worm came out which was still alive.  I   was forced to wipe it up.
333	shame	I was a child it was found out that I had taken off my   clothes outdoors.  It was summer and my friend and I were out   in the woods.  It had felt exciting at that time.  My parents   discovered that my trousers were back to front and I felt   ashamed.
334	guilt	I stole money from my mother and she asked me later if I was   responsible.  I never admitted it.
335	neutral	"[ Cycling in the spring sunshine gives me such delight.    Happiness is to be healthy, my wonderful finance.  Simply being   here on earth.]"
336	fear	"my relationship with my family is very poor I often fear   being excluded from the group, a fear which is stronger in   situations an argument is on hand."
337	anger	"Recently my sister, who is four years younger than me and   very spoiled, shouted at my mother for no apparent reason .  The   heart-broken expression on my mother's face made me feel very   angry."
338	sadness	"I watched the T.V programme called ""The living planet"" and   saw the far reaching environmental destruction caused by man."
339	disgust	"Disgust is a feeling that I have never experienced with peoplie   but , on the other hand, it has been with repulsive animals, i;e   snakes on T.V."
340	shame	"relatives have acted strangely, and unfriendly towards me."
341	guilt	",due to hunger and tiredness, I became generally irritated   with my fiancee and made cutting remarks which really hurt him.    Later I realized that my unfounded irritation had hurt the person   I love most on earth."
342	neutral	"On a boat trip to Denmark, 14 of us had a lot of fun and we   spent SEK 10 each on one armed bandits and against all odds we   won the jackpot of SEK 1000."
343	fear	"A rainy day, I was cycling downhill and a car door suddenly   opened and while trying to avoid it the back wheels of my bike   got caught in the tram tracks.  I somersaulted but had no   injuries."
344	anger	On the way home from Marstrand I was driving behind my father's   car.  Another car tried to push in front of my father and he was   forced to swerve and he thus collided the car with a pillar.  The   other car drove off without even seeing what had happened.
345	disgust	At the police centre a man between 40-50 was brought in.  He was   very drunk and in all likelihood had not slept indoors for a long   time and had relieved himself in his trousers.
346	shame	A customer at the shop where I worked came in and asked if the   goods that he had ordered had arrived.  I had totally   forgotten about this order and I tried to offer weak excuses.
347	guilt	I was 4-5 years old I hid the bicycle keys of a not very   good friend.  After a few hours I pretended that I had found   it.
348	neutral	I was at the end-of-term party last week and had fun - was   happy and sang and drank only soft drinks.  It is possible to   have a good time without alcohol.
349	fear	Last Summer I was walking along the beach in a bikini and an   awful man came cycling after me.  He was shouting and I ran as   fast as my legs could carry me.
350	anger	In a course I thought that I deserved good marks but I only got   ordinary marks with no justification as to why I was given these   marks.
351	sadness	I crashed my car and it had to be scrapped then.  It was my   fault and I feel depressed as I miss the car.
352	disgust	"I had some sort of a stomach virus last week and  I vomited in   college in the morning, then in the cake shop, three times during   the trip home and again I got home."
353	guilt	Many years ago a friend wanted me to with her to southern Europe   and I preferred to travel alone.  I felt guilty because I wanted   to go on my own.
354	neutral	I felt that my love was returned.
